Country,Concept,LocalTerm,table_index,table_heading
Puerto Rico,"Técnico especializado en construcciones, que posee una formación integral y conocimientos específicos sobre los procesos constructivos y diseño de sistemas constructivos adecuados al proyecto ejecutado. Recibe una instrucción técnica que le confiere conocimientos y conceptos fundamentales que le permiten participar activamente, y aún ser autor de la parte proyectual no artística, de proyectos edificatorios, sin que medie otro profesional en el mismo. La primera diferencia con el trabajo de un/a arquitecta/o es que esta última persona se dedica a diseñar y dirigir proyectos; mientras que la/el profesional en cuestión es la/el encargada/o de dirigir la ejecución de la obra de edificación. Aparejador","maestro de obra(s), supervisor de obras, jefe de obras, capataz",7,Personas y oficios (5)
España,"Médico que se encarga de curar o prevenir las enfermedades de tipo general y, en caso necesario, remite el enfermo al especialista correspondiente Médico de cabecera","médico de cabecera, médico de familia",8,Personas y oficios (6)
Guatemala,"Médico que se encarga de curar o prevenir las enfermedades de tipo general y, en caso necesario, remite el enfermo al especialista correspondiente Médico de cabecera",médico general,8,Personas y oficios (6)
México,"Médico que se encarga de curar o prevenir las enfermedades de tipo general y, en caso necesario, remite el enfermo al especialista correspondiente Médico de cabecera","médico de cabecera, médico familiar, médico general, internista",8,Personas y oficios (6)
Puerto Rico,"Médico que se encarga de curar o prevenir las enfermedades de tipo general y, en caso necesario, remite el enfermo al especialista correspondiente Médico de cabecera","médico de cabecera, médico primario, generalista, internista",8,Personas y oficios (6)
España,Hijo que ocupa el lugar de nacimiento en medio de dos hermanos Unnamed: 2_level_1,hijo de en medio,8,Personas y oficios (6)
Guatemala,Hijo que ocupa el lugar de nacimiento en medio de dos hermanos Unnamed: 2_level_1,"hijo de la mitad, hijo de en medio",8,Personas y oficios (6)
México,Hijo que ocupa el lugar de nacimiento en medio de dos hermanos Unnamed: 2_level_1,"hijo de en medio, hijo del medio, hijo sándwich",8,Personas y oficios (6)
Puerto Rico,Hijo que ocupa el lugar de nacimiento en medio de dos hermanos Unnamed: 2_level_1,hijo del medio,8,Personas y oficios (6)
España,Minero que extrae oro mediante el procedimiento del mazamorreo Gambusino,"buscador de oro, bateador de oro",8,Personas y oficios (6)
Guatemala,Minero que extrae oro mediante el procedimiento del mazamorreo Gambusino,"buscador de oro, minero",8,Personas y oficios (6)
México,Minero que extrae oro mediante el procedimiento del mazamorreo Gambusino,buscaoro,8,Personas y oficios (6)
