Country,Concept,LocalTerm
Guatemala,Ponerse en posición erguida,"pararse, levantarse, ponerse de pie"
México,Ponerse en posición erguida,"pararse, levantarse, alzarse, ponerse de pie"
Puerto Rico,Ponerse en posición erguida,"pararse, levantarse, ponerse de pie"
España,Detener un vehículo colocándolo en un lugar destinado para ello durante cierto tiempo,"aparcar, estacionar (formal)"
Guatemala,Detener un vehículo colocándolo en un lugar destinado para ello durante cierto tiempo,estacionar
México,Detener un vehículo colocándolo en un lugar destinado para ello durante cierto tiempo,estacionar
Puerto Rico,Detener un vehículo colocándolo en un lugar destinado para ello durante cierto tiempo,parquear
España,Emplear demasiado tiempo en hacer algo,"tardar, retrasarse, demorarse"
Guatemala,Emplear demasiado tiempo en hacer algo,"tardar, dilatarse, retrasarse"
México,Emplear demasiado tiempo en hacer algo,"tardarse, demorarse, dilatarse"
Puerto Rico,Emplear demasiado tiempo en hacer algo,tardarse
España,No aprobar  un curso o examen,"suspender, ser suspendido, catear, ser cateado (coloquial), pinchar (coloquial)"
Guatemala,No aprobar  un curso o examen,echarse
México,No aprobar  un curso o examen,"reprobar, ser reprobado, tronar, ser tronado"
Puerto Rico,No aprobar  un curso o examen,"colgar, ser colgado"
España,"Contener un libro, un escrito u otra cosa semejante ciertos temas, ideas, etc. ""En la carta _____________ que tenemos que estar a las diez"".","poner, decir"
Guatemala,"Contener un libro, un escrito u otra cosa semejante ciertos temas, ideas, etc. ""En la carta _____________ que tenemos que estar a las diez"".",decir
México,"Contener un libro, un escrito u otra cosa semejante ciertos temas, ideas, etc. ""En la carta _____________ que tenemos que estar a las diez"".",decir
Puerto Rico,"Contener un libro, un escrito u otra cosa semejante ciertos temas, ideas, etc. ""En la carta _____________ que tenemos que estar a las diez"".","decir, poner"
España,"Unir, juntar o sujetar con ligaduras o nudos","atar, amarrar, anudar"
Guatemala,"Unir, juntar o sujetar con ligaduras o nudos",amarrar
México,"Unir, juntar o sujetar con ligaduras o nudos","amarrar, atar, anudar"
Puerto Rico,"Unir, juntar o sujetar con ligaduras o nudos",amarrar
España,Recordar con pena la ausencia o pérdida de una persona o cosa querida,"echar de menos, añorar, extrañar"
Guatemala,Recordar con pena la ausencia o pérdida de una persona o cosa querida,extrañar
México,Recordar con pena la ausencia o pérdida de una persona o cosa querida,"extrañar, echar de menos"
Puerto Rico,Recordar con pena la ausencia o pérdida de una persona o cosa querida,"echar de menos, extrañar"
España,Contender o disputar altercando de obra o de palabra,"pelear, discutir, reñir"
Guatemala,Contender o disputar altercando de obra o de palabra,pelear
México,Contender o disputar altercando de obra o de palabra,"pelearse, discutir"
Puerto Rico,Contender o disputar altercando de obra o de palabra,pelear
España,Terminar los estudios universitarios,"acabar la carrera, graduarse, licenciarse"
Guatemala,Terminar los estudios universitarios,"graduarse, recibirse"
México,Terminar los estudios universitarios,"recibirse, graduarse, terminar la carrera, titularse"
Puerto Rico,Terminar los estudios universitarios,graduarse
España,Hablar dos o más personas entre sí,"conversar, hablar, charlar, paliquear (Canarias), alegar (Canarias)"
Guatemala,Hablar dos o más personas entre sí,"hablar, platicar"
México,Hablar dos o más personas entre sí,"hablar, platicar, conversar, dialogar"
Puerto Rico,Hablar dos o más personas entre sí,"hablar, conversar, charlar"
España,Causar dolor,"hacer daño, herir, dañar, lastimar (solo para dolor emocional)"
Guatemala,Causar dolor,lastimar
México,Causar dolor,"lastimar, herir"
Puerto Rico,Causar dolor,"herir, lastimar, hacer daño"
España,"Exhibir una película o serie en una sala de cine o en la televisión. ""Hoy va(n) a ______ esa película en este canal""","echar, hacer, poner, proyectar"
Guatemala,"Exhibir una película o serie en una sala de cine o en la televisión. ""Hoy va(n) a ______ esa película en este canal""","pasar, dar, poner, proyectar"
México,"Exhibir una película o serie en una sala de cine o en la televisión. ""Hoy va(n) a ______ esa película en este canal""","pasar, proyectar"
Puerto Rico,"Exhibir una película o serie en una sala de cine o en la televisión. ""Hoy va(n) a ______ esa película en este canal""","dar, proyectar"
